station,obs,latitude,longitude,stationAltitude,station_id,station_description,time,stationIndex,Pressure_surface,Temperature_surface,Visibility_surface,Wind_speed_gust_surface
0,30,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 00:00:00,0,100242.26,295.94077,24135.23,13.810888
0,31,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 03:00:00,0,100371.35,294.2165,24134.98,12.33428
0,32,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 06:00:00,0,100394.83,299.3451,24135.145,8.8
0,33,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 09:00:00,0,100319.35,303.88428,24135.201,7.629279
0,34,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 12:00:00,0,100198.305,305.7616,24134.787,7.4000854
0,35,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 15:00:00,0,100232.79,302.2403,24134.639,6.901286
0,36,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 18:00:00,0,100189.92,299.2447,24134.918,12.82839
0,37,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-16 21:00:00,0,100267.555,298.22418,24134.977,11.304878
0,38,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 00:00:00,0,100247.28,297.3,24134.807,11.005085
0,39,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 03:00:00,0,100188.38,296.0026,24135.316,11.401016
0,40,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 06:00:00,0,100210.58,296.2242,24135.004,10.100924
0,41,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 09:00:00,0,100118.95,299.67267,24134.807,11.312625
0,42,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 12:00:00,0,99979.83,307.26572,24134.902,10.021116
0,43,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 15:00:00,0,99839.55,303.26572,24135.293,12.120764
0,44,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-17 18:00:00,0,99861.234,300.23428,24135.262,14.503125
